Epoch 0/1500: Actor=6.990561065673828, Critic=0.5752987518310547
Epoch 1/1500: Actor=7.317450881958008, Critic=0.48431746768951417
Epoch 2/1500: Actor=7.370587219238281, Critic=0.397488401889801
Epoch 3/1500: Actor=7.446031478881836, Critic=0.3316753840446472
Epoch 4/1500: Actor=7.511958343505859, Critic=0.2863522706031799
Epoch 5/1500: Actor=7.6101484375, Critic=0.2572462110519409
Epoch 6/1500: Actor=7.660593994140625, Critic=0.24853401231765748
Epoch 7/1500: Actor=7.665255249023438, Critic=0.24785898399353026
Epoch 8/1500: Actor=7.719493194580078, Critic=0.24738385820388795
Epoch 9/1500: Actor=7.679377838134766, Critic=0.25051328325271605
Epoch 10/1500: Actor=7.69829216003418, Critic=0.2391958177089691
Epoch 11/1500: Actor=7.700643005371094, Critic=0.247938081741333
Epoch 12/1500: Actor=7.674076110839843, Critic=0.23501027393341065
Epoch 13/1500: Actor=7.6733843536376956, Critic=0.2497628426551819
Epoch 14/1500: Actor=7.649610809326171, Critic=0.2344175977706909
Epoch 15/1500: Actor=7.632729507446289, Critic=0.23369635677337647
Epoch 16/1500: Actor=7.610414138793946, Critic=0.23751271057128906
Epoch 17/1500: Actor=7.616116256713867, Critic=0.24490665006637574
Epoch 18/1500: Actor=7.614251647949219, Critic=0.23548098182678223
Epoch 19/1500: Actor=7.563012512207031, Critic=0.2455916028022766
Epoch 20/1500: Actor=7.585720993041992, Critic=0.23885636377334596
Epoch 21/1500: Actor=7.557113464355469, Critic=0.24434422254562377
Epoch 22/1500: Actor=7.566989608764649, Critic=0.24073443460464478
Epoch 23/1500: Actor=7.513802993774414, Critic=0.2425917935371399
Epoch 24/1500: Actor=7.501359466552734, Critic=0.24233552598953248
Epoch 25/1500: Actor=7.469243057250977, Critic=0.2416983594894409
Epoch 26/1500: Actor=7.429464950561523, Critic=0.24479593181610107
Epoch 27/1500: Actor=7.414373931884765, Critic=0.24753771209716796
Epoch 28/1500: Actor=7.400943252563477, Critic=0.2564015679359436
Epoch 29/1500: Actor=7.380070434570312, Critic=0.2483676257133484
Epoch 30/1500: Actor=7.3796741485595705, Critic=0.25263463735580444
Epoch 31/1500: Actor=7.348444793701172, Critic=0.24514576482772826
Epoch 32/1500: Actor=7.327258712768555, Critic=0.24527913808822632
Epoch 33/1500: Actor=7.285717971801758, Critic=0.2487500443458557
Epoch 34/1500: Actor=7.240081436157227, Critic=0.2494305696487427
Epoch 35/1500: Actor=7.232987045288086, Critic=0.2409456763267517
Epoch 36/1500: Actor=7.227703384399414, Critic=0.24851947164535523
Epoch 37/1500: Actor=7.187332168579101, Critic=0.2505515637397766
Epoch 38/1500: Actor=7.179118515014649, Critic=0.24442415523529054
Epoch 39/1500: Actor=7.1319927215576175, Critic=0.22587528228759765
Epoch 40/1500: Actor=7.136248916625976, Critic=0.2350006856918335
Epoch 41/1500: Actor=7.087967346191406, Critic=0.21924005556106568
Epoch 42/1500: Actor=7.052258682250977, Critic=0.22494635343551636
Epoch 43/1500: Actor=7.02547119140625, Critic=0.23489762830734254
Epoch 44/1500: Actor=6.97527587890625, Critic=0.2371178879737854
Epoch 45/1500: Actor=6.974381088256836, Critic=0.2378830189704895
Epoch 46/1500: Actor=6.917074966430664, Critic=0.21892749834060668
Epoch 47/1500: Actor=6.875273803710938, Critic=0.22394862842559815
Epoch 48/1500: Actor=6.855486297607422, Critic=0.2127497239112854
Epoch 49/1500: Actor=6.828024780273437, Critic=0.22600542354583741
Epoch 50/1500: Actor=6.793248382568359, Critic=0.22329533815383912
Epoch 51/1500: Actor=6.761196105957032, Critic=0.20895946216583253
Epoch 52/1500: Actor=6.706211883544922, Critic=0.2158890085220337
Epoch 53/1500: Actor=6.679161895751953, Critic=0.21361312341690064
Epoch 54/1500: Actor=6.643897567749024, Critic=0.20968744325637817
Epoch 55/1500: Actor=6.611256469726563, Critic=0.20593622398376465
Epoch 56/1500: Actor=6.54628842163086, Critic=0.21320401954650878
Epoch 57/1500: Actor=6.521998092651367, Critic=0.20640206336975098
Epoch 58/1500: Actor=6.476889785766602, Critic=0.20924645900726319
Epoch 59/1500: Actor=6.421874755859375, Critic=0.21530858612060547
Epoch 60/1500: Actor=6.372176391601562, Critic=0.20891835021972657
Epoch 61/1500: Actor=6.3423951110839845, Critic=0.20953210234642028
Epoch 62/1500: Actor=6.295185470581055, Critic=0.2074953498840332
